title,price
"realme P2 Pro 5G (Parrot Green, 128 GB)","19,999"
"Motorola g45 5G (Brilliant Green, 128 GB)","11,999"
"Motorola G85 5G (Olive Green, 128 GB)","16,999"
"Motorola G85 5G (Cobalt Blue, 128 GB)","16,999"
"Motorola g45 5G (Brilliant Blue, 128 GB)","9,999"
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","22,999"
"Motorola G85 5G (Viva Magenta, 128 GB)","16,999"
"Motorola g45 5G (Brilliant Green, 128 GB)","9,999"
"Motorola g45 5G (Viva Magenta, 128 GB)","9,999"
"Motorola G85 5G (Olive Green, 256 GB)","18,999"
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","6,249"
"Motorola G85 5G (Viva Magenta, 256 GB)","18,999"
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","20,999"
"MOTOROLA g35 5G (Leaf Green, 128 GB)","9,999"
"vivo T3 Lite 5G (Vibrant Green, 128 GB)","10,499"
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","22,999"
"Motorola G85 5G (Cobalt Blue, 256 GB)","18,999"
"vivo T3 Lite 5G (Majestic Black, 128 GB)","11,499"
"REDMI A3 (Lake Blue, 128 GB)","8,999"
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","20,999"
"POCO C61  - Locked with Airtel Prepaid (Diamond Dust Black, 64 GB)","5,499"
"vivo T3 Lite 5G (Majestic Black, 128 GB)","10,499"
"MOTOROLA g35 5G (Guava Red, 128 GB)","9,999"
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","22,999"
